idArret;datecreation;datedebut;datefin;nombrejour;datereprise;agent_matricule;statut
3842;06/02/2020;06/02/2020;07/02/2020;2;10/02/2020;4206;Valider
3843;06/02/2020;06/02/2020;08/02/2020;3;10/02/2020;3574;Valider
3844;06/02/2020;06/02/2020;06/02/2020;1;07/02/2020;3863;Valider
3845;06/02/2020;06/02/2020;07/02/2020;2;08/02/2020;4538;Valider
3846;06/02/2020;05/02/2020;06/02/2020;2;07/02/2020;4585;Valider
3850;06/02/2020;29/01/2020;30/01/2020;2;31/01/2020;2891;Valider
3851;06/02/2020;30/01/2020;31/01/2020;2;01/02/2020;4721;Valider
3852;07/02/2020;07/02/2020;07/02/2020;1;10/02/2020;4202;Valider
3853;07/02/2020;07/02/2020;07/02/2020;1;10/02/2020;3429;Valider
3854;07/02/2020;06/02/2020;07/02/2020;2;10/02/2020;4918;Valider
3855;07/02/2020;04/02/2020;05/02/2020;2;06/02/2020;4211;Valider
3856;07/02/2020;07/02/2020;07/02/2020;1;10/02/2020;3880;Valider
3857;07/02/2020;06/02/2020;06/02/2020;1;07/02/2020;3507;Valider
3858;07/02/2020;07/02/2020;07/02/2020;1;10/02/2020;3507;Valider
3859;07/02/2020;28/01/2020;31/01/2020;4;01/02/2020;3793;Valider
3860;07/02/2020;03/02/2020;07/02/2020;5;08/02/2020;3793;Non valider
3861;07/02/2020;06/02/2020;08/02/2020;3;10/02/2020;3747;Valider
3862;07/02/2020;07/02/2020;07/02/2020;1;10/02/2020;3612;Valider
3863;07/02/2020;07/02/2020;07/02/2020;1;10/02/2020;3530;Valider
3864;10/02/2020;06/02/2020;07/02/2020;2;10/02/2020;4742;Valider
3865;10/02/2020;10/02/2020;12/02/2020;3;13/02/2020;3486;Valider
3866;10/02/2020;10/02/2020;10/02/2020;1;11/02/2020;3725;Valider
3867;10/02/2020;10/02/2020;12/02/2020;3;13/02/2020;3848;Valider
3869;10/02/2020;06/02/2020;07/02/2020;2;10/02/2020;3940;Valider
3870;10/02/2020;10/02/2020;12/02/2020;3;13/02/2020;3940;Valider
3871;10/02/2020;10/02/2020;12/02/2020;3;13/02/2020;3765;Valider
3872;11/02/2020;11/02/2020;12/02/2020;2;13/02/2020;3851;Valider
3873;11/02/2020;11/02/2020;12/02/2020;2;13/02/2020;3574;Valider
3874;11/02/2020;11/02/2020;12/02/2020;2;13/02/2020;4862;Valider
3875;11/02/2020;11/02/2020;11/02/2020;1;12/02/2020;3727;Valider
3876;11/02/2020;08/02/2020;11/02/2020;4;12/02/2020;4499;Valider
3877;11/02/2020;10/02/2020;10/02/2020;1;11/02/2020;3516;Valider
3878;12/02/2020;12/02/2020;13/02/2020;2;14/02/2020;3508;Valider
3879;12/02/2020;12/02/2020;14/02/2020;3;15/02/2020;3507;Valider
3880;12/02/2020;10/02/2020;11/02/2020;2;12/02/2020;4841;Valider
3881;12/02/2020;12/02/2020;14/02/2020;3;17/02/2020;3897;Valider
3882;12/02/2020;12/02/2020;14/02/2020;3;17/02/2020;3954;Valider
3883;12/02/2020;12/02/2020;14/02/2020;3;17/02/2020;2805;Valider
3884;12/02/2020;12/02/2020;13/02/2020;2;14/02/2020;3639;Valider
3885;12/02/2020;11/02/2020;14/02/2020;4;15/02/2020;3452;Valider
3886;12/02/2020;11/02/2020;13/02/2020;3;14/02/2020;4322;Valider
3887;12/02/2020;12/02/2020;13/02/2020;2;14/02/2020;3488;Valider
3888;13/02/2020;13/02/2020;14/02/2020;2;17/02/2020;4814;Valider
3889;13/02/2020;13/02/2020;14/02/2020;2;17/02/2020;4310;Valider
3890;13/02/2020;13/02/2020;14/02/2020;2;17/02/2020;3085;Valider
3891;13/02/2020;11/02/2020;12/02/2020;2;13/02/2020;4365;Valider
3892;13/02/2020;13/02/2020;14/02/2020;2;17/02/2020;3574;Valider
